UNID,名称,所在地,経度,緯度
189,せせらぎ公園,星ヶ峯４丁目３１の一部,130.4918118,31.5799958
190,高見公園,東谷山１丁目２７番,130.5299029,31.53794779
191,中塩屋公園,小松原２丁目８番,130.5260287,31.53096355
192,中山真方公園,中山町１９５５番３外,130.5019062,31.5384035
193,波之平公園,東谷山６丁目５番,130.5233006,31.53639892
194,西平公園,中山１丁目２７番,130.5078662,31.55202425
195,東開公園,小松原１丁目７番,130.5352283,31.53767488
196,日之出公園,小松原１丁目３３番,130.5313669,31.53544609
197,平馬場公園,中山町１６３７番,130.4953561,31.54125661
198,舟石公園,皇徳寺台３丁目８７付近,130.4865916,31.55872106
199,ふれあい公園,皇徳寺台３丁目６５番,130.4870453,31.56083777
200,星ヶ峯第１公園,星ヶ峯３丁目４３番,130.4915608,31.5819252
201,星ヶ峯第１０公園,星ヶ峯５丁目１２番,130.4829157,31.57848121
202,星ヶ峯第２公園,星ヶ峯３丁目２５番,130.4935483,31.58055113
203,星ヶ峯第２０公園,星ヶ峯１丁目６２番,130.5048436,31.56793844
204,星ヶ峯第３公園,星ヶ峯３丁目９番,130.4952311,31.57890714
205,星ヶ峯第７公園,星ヶ峯２丁目５９番,130.4952343,31.57214082
206,星ヶ峯第８公園,星ヶ峯４丁目２４番,130.4887195,31.57820777
207,星ヶ峯第９公園,星ヶ峯４丁目４２番,130.4859599,31.58058078
208,星ヶ峯第１１公園,星ヶ峯５丁目５番,130.4855982,31.57751617
209,星ヶ峯第１２公園,星ヶ峯５丁目３６番,130.4820228,31.57368476
210,星ヶ峯第１３公園,星ヶ峯５丁目２４番,130.4844714,31.57527651
211,星ヶ峯第１４公園,星ヶ峯２丁目６１番,130.4947025,31.57292588
212,星ヶ峯第１６公園,星ヶ峯１丁目１番,130.5003593,31.5739102
213,星ヶ峯第１７公園,星ヶ峯１丁目３２番,130.5029619,31.57148919
214,星ヶ峯第１９公園,星ヶ峯１丁目４７番,130.5056563,31.57029408
215,星ヶ峯中央公園,星ヶ峯２丁目２番,130.4991926,31.57269642
216,星ケ峯第２１公園,星ヶ峯６丁目９番１,130.491058,31.57721373
217,星ケ峯第２２公園,星ヶ峯６丁目２０番１,130.4910301,31.57463197
218,本馬越公園,中山２丁目５番,130.5111422,31.54676093
219,南皇徳寺見晴らし台公園,山田町１２０７番１９外,130.4844658,31.55935211
220,薬師堂公園,東谷山５丁目１５番,130.5160187,31.53275648
221,星ヶ峯第２３公園,星ヶ峯６丁目５４番,130.4906802,31.57166034
222,内ノ丸公園,和田２丁目１３番,130.5093406,31.50875057
223,烏帽子田公園,谷山中央６丁目４番,130.5080583,31.51817998
224,円明庵公園,谷山中央１丁目５０２７番付近,130.5142615,31.52246351
225,卸本町公園,卸本町５番の一部,130.5217158,31.51774382
226,笠松公園,下福元町８９６９番１,130.4895649,31.49529991
227,錦江台東公園,錦江台１丁目２番,130.5013454,31.50656678
228,こまつばら団地公園,谷山中央２丁目７０２番３３付近,130.5244033,31.52340632
229,坂之上駅前公園,坂之上４丁目８番,130.5060879,31.49936503
230,坂之上南公園,下福元町７１２６番２,130.5002769,31.48707447
231,慈眼寺中公園,下福元町３７８５－１付近,130.5011998,31.50965921
232,慈眼寺東公園,慈眼寺町１６番,130.5057587,31.51366125
233,島ノ前公園,谷山中央５丁目３４番,130.5129669,31.51558206
234,大工田公園,谷山中央７丁目３６番,130.5120078,31.52251153
235,田辺公園,谷山中央８丁目１２,130.5123746,31.52487137
236,谷山第一中央公園,谷山中央７丁目２９番,130.5124597,31.51984872
237,谷山恵美須公園,谷山中央６丁目４９番,130.5088484,31.51390224
238,玉林団地公園,和田３丁目４３番,130.51328,31.50872156
239,中央慈眼寺台第一公園,慈眼寺町２６番,130.504407,31.51077446
240,中央慈眼寺台第二公園,慈眼寺町３３番,130.5031452,31.50981455
241,七ツ島公園,七ツ島１丁目２３番１外,130.5119722,31.4706234
242,錦江湾公園,平川町２１７０,130.5077902,31.46247828
243,ニュー慈眼寺団地公園,錦江台２丁目１３番,130.4999258,31.50427089
244,ニワ都市公園,南栄５丁目１０番,130.5183855,31.50657069
245,野頭公園,下福元町７４８０番６１,130.4992709,31.48702444
246,東新緑地公園,谷山中央３丁目３８３番２１,130.5202978,31.51993362
247,不動寺公園,上福元町６３５９番の一部外,130.5043895,31.52430753
248,星和台団地第一公園,錦江台３丁目１２番,130.4978158,31.50005901
249,港中央公園,谷山港２丁目５番,130.5256357,31.49694732
250,港緑地公園,谷山中央３丁目３８３番６,130.5197401,31.51822275
251,南栄公園,南栄３丁目１７番,130.5295981,31.51438062
252,門前公園,和田２丁目２７番,130.5066058,31.51003954
253,和田名公園,和田１丁目３７番,130.5109133,31.51079545
254,明ヶ窪公園,伊敷台７丁目８番,130.5475146,31.62755263
255,いて座公園,伊敷台７丁目４番の一部,130.5479825,31.63031846
256,伊敷団地第一公園,西伊敷１丁目２９番,130.528601,31.63087908
257,伊敷中央公園,西伊敷３丁目１６番,130.5303913,31.6403016
258,上日当平公園,下伊敷２丁目２８番,130.5414073,31.62198389
259,うお座公園,伊敷台２丁目１番,130.532081,31.62236161
260,栄門公園,下伊敷１丁目３６番,130.5338874,31.61175904
261,おうし座公園,伊敷台３丁目１番,130.5320429,31.62505541
262,大平田公園,伊敷５丁目７番,130.5233617,31.62578808
263,おとめ座公園,伊敷台５丁目１９番,130.5403691,31.62857846
264,小野公園,小野３丁目３４番　,130.5125764,31.61344837
265,おひつじ座公園,伊敷台１丁目７番,130.53316,31.62151167
266,かごしま健康の森公園,犬迫町８２５番外,130.5048877,31.64516901
267,かに座公園,伊敷台２丁目２６番,130.5354314,31.62790741
268,桂庵公園,伊敷２丁目１８番,130.5272095,31.62044252
269,さそり座公園,伊敷台４丁目３７番,130.5463806,31.63040542
270,しし座公園,伊敷台３丁目１８番,130.5352514,31.62960337
271,千年団地第五公園,千年２丁目３０番,130.5273626,31.6410804
272,千年団地第二公園,千年１丁目１９番,130.5233933,31.63557556
273,千年団地第六公園,千年２丁目４０番,130.5272665,31.64364324
274,千年団地中央公園,千年２丁目２番,130.524257,31.6386854
275,玉里台第一公園,伊敷台６丁目１０番,130.542776,31.62703962
276,てんびん座公園,伊敷台４丁目２２番,130.5409479,31.63188526
277,花野団地第一公園,花野光ヶ丘１丁目２番,130.5286721,31.64836895
278,花野団地第五公園,花野光ヶ丘２丁目４２番,130.5234117,31.65035943
279,花野団地第三公園,花野光ヶ丘１丁目３８番,130.528538,31.65419928
280,花野団地第二公園,花野光ヶ丘１丁目２２番,130.5305349,31.65172761
281,花野団地第四公園,花野光ヶ丘２丁目５６番,130.5256333,31.65255031
