災害時給水ステーション（給水拠点）一覧表,,,,,,,,,,,,別紙
（１）区部の給水拠点（応急給水槽、浄水場、給水所等）,,,,,,,,,,,,平成31年4月1日現在
,【水道局設置分】,,,,(m3),,,,,,,(m3)
58,日野市,大坂上浄水所,,大坂上一丁目17番地の11,650,,,☆：小規模応急給水槽（100m3槽）,,,,
59,,多摩平浄水所,,多摩平二丁目7番地の2,"3,660",,,,,,,
60,,程久保給水所,,程久保五丁目10番地の1,"6,700",,,,,,,
（注１）,砂川中部浄水所及び西砂第一浄水所は、平成14年8月14日から運用を停止している。,,,,,,,,,,,
（注2）,幸町浄水所は、工事により平成32年3月末まで運用停止予定。,,,,,,,,,,,
（注3）,美住給水所は工事により、平成33年3月末まで運用停止予定。,,,,,,,,,,,
（注4）,清瀬旭が丘浄水所は、平成17年6月24日から運用を停止している。,,,,,,,,,,,
（注5）,運搬給水拠点（給水車等の車両への水の補給施設）,,,,,,,,,,,
,拠点給水は、市立小中学校及び広域避難場所で行う。,,,,,,,,,,,
,,,,,,,,,,,,
,区部,浄水場・給水所等,,33箇所,"620,580",m3,,,,,,
,,応急給水槽,★,46箇所,"69,000",m3,,,,,,
,多摩,浄水場・給水所等,,96箇所,"365,310",m3,,,,,,
,,応急給水槽,★,7箇所,"10,500",m3,,,,,,
,,　　　　　小　　　　　　　　　計,,182箇所,"1,065,390",m3,,,,,,
,,小規模応急給水施設（区部）,☆,26箇所,"2,600",m3,,,,,,
,,小規模応急給水施設（多摩）,☆,7箇所,700,m3,,,,,,
,,　　　　　合　　　　　　　　　計,,215箇所,"1,068,690",m3,,,,,,
,,,,,,,,,,,,
